"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"responsable de laboratoire de contrôle en chimie";https://www.onisep.fr/http/redirection/metier/slug/MET.355;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1501;"Direction de laboratoire d'analyse industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1501;sciences/chimie
"chargé / chargée d'études de prix";https://www.onisep.fr/http/redirection/metier/slug/MET.498;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/metierscope/fiche-metier/F1106;"construction, architecture, travaux publics/bureau d'études BTP"
"BIM manager";https://www.onisep.fr/http/redirection/metier/slug/MET.902;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/metierscope/fiche-metier/F1106;"construction, architecture, travaux publics/génie civil| informatique, Internet/informatique (généralités)| informatique, Internet/informatique industrielle et technologique| construction, architecture, travaux publics/travaux publics"
"mécanicien-outilleur / mécanicienne-outilleuse";https://www.onisep.fr/http/redirection/metier/slug/MET.686;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";H2901;"Ajustement et montage de fabrication";https://candidat.francetravail.fr/metierscope/fiche-metier/H2901;"mécanique/mécanique (généralités)"
"éducateur sportif / éducatrice sportive";https://www.onisep.fr/http/redirection/metier/slug/MET.783;"Les métiers du sport";Parcours;2024;9782273016988;"GFE S : hôtellerie,  tourisme, loisirs";G1204;"Éducation en activités sportives";https://candidat.francetravail.fr/metierscope/fiche-metier/G1204;"santé, social, sport/sport"
notaire;https://www.onisep.fr/http/redirection/metier/slug/MET.558;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1901;"Aide et médiation judiciaire";https://candidat.francetravail.fr/metierscope/fiche-metier/K1901;"économie, droit, politique/droit privé"
"sous-officier / sous-officière de l'armée de terre";https://www.onisep.fr/http/redirection/metier/slug/MET.587;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1701;"Personnel de la Défense";https://candidat.francetravail.fr/metierscope/fiche-metier/K1701;"armée, sécurité/défense publique| armée, sécurité/sécurité, prévention"
bibliothécaire;https://www.onisep.fr/http/redirection/metier/slug/MET.44;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.francetravail.fr/metierscope/fiche-metier/K1601;"information-communication, audiovisuel/bibliothèque, documentation"
"soigneur / soigneuse d'animaux";https://www.onisep.fr/http/redirection/metier/slug/MET.905;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";A1501;"Aide aux soins animaux";https://candidat.francetravail.fr/metierscope/fiche-metier/A1501;"agriculture, animaux/soins aux animaux"
"ingénieur / ingénieure du BTP";https://www.onisep.fr/http/redirection/metier/slug/MET.182;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/metierscope/fiche-metier/F1106;"construction, architecture, travaux publics/génie civil, construction (généralités)| construction, architecture, travaux publics/travaux publics"
"architecte produit industriel";https://www.onisep.fr/http/redirection/metier/slug/MET.611;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"informatique, Internet/informatique (généralités)| sciences/mathématiques| électricité, électronique, robotique/télécommunications"
"perchman / perchwoman";https://www.onisep.fr/http/redirection/metier/slug/MET.746;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE U : communication, médias";L1508;"Prise de son et sonorisation";https://candidat.francetravail.fr/metierscope/fiche-metier/L1508;"information-communication, audiovisuel/audiovisuel"
"agent / agente de propreté et d'hygiène";https://www.onisep.fr/http/redirection/metier/slug/MET.562;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE T : environnement, nettoyage, sécurité";K2204;"Nettoyage de locaux";https://candidat.francetravail.fr/metierscope/fiche-metier/K2204;"environnement, énergies, propreté/propreté"
"cordonnier / cordonnière";https://www.onisep.fr/http/redirection/metier/slug/MET.425;"Mode et luxe";Parcours;2024;9782273016803;"GFE L : textile, habillement, cuir";D1206;"Réparation d'articles en cuir et matériaux souples";https://candidat.francetravail.fr/metierscope/fiche-metier/D1206;"matières premières, fabrication, industries/textile, habillement"
"chef / cheffe des ventes";https://www.onisep.fr/http/redirection/metier/slug/MET.541;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1406;"Management en force de vente";https://candidat.francetravail.fr/metierscope/fiche-metier/D1406;"commerce, marketing, vente/marketing, vente"
webmestre;https://www.onisep.fr/http/redirection/metier/slug/MET.422;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1104;"informatique, Internet/développement, programmation, logiciel| information-communication, audiovisuel/multimédia| informatique, Internet/systèmes et réseaux"
"éducateur spécialisé / éducatrice spécialisée";https://www.onisep.fr/http/redirection/metier/slug/MET.311;"Travail social";Parcours;2024;9782273016827;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.francetravail.fr/metierscope/fiche-metier/K1207;"santé, social, sport/travail social"
"éducateur / éducatrice de la protection judiciaire de la jeunesse";https://www.onisep.fr/http/redirection/metier/slug/MET.924;"Travail social";Parcours;2024;9782273016827;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.francetravail.fr/metierscope/fiche-metier/K1207;"santé, social, sport/travail social"
"chargé / chargée HSE (hygiène sécurité environnement)";https://www.onisep.fr/http/redirection/metier/slug/MET.878;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/metierscope/fiche-metier/H1302;"environnement, énergies, propreté/propreté| armée, sécurité/sécurité, prévention"
météorologiste;https://www.onisep.fr/http/redirection/metier/slug/MET.164;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";M1809;"Information météorologique";https://candidat.francetravail.fr/metierscope/fiche-metier/M1809;"sciences/sciences de la Terre"
"acheteur / acheteuse d'espaces publicitaires";https://www.onisep.fr/http/redirection/metier/slug/MET.432;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE U : communication, médias";E1402;"Élaboration de plan média";https://candidat.francetravail.fr/metierscope/fiche-metier/E1402;"information-communication, audiovisuel/journalisme, édition, publicité| commerce, marketing, vente/marketing, vente"
"rédacteur / rédactrice on line";https://www.onisep.fr/http/redirection/metier/slug/MET.334;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/metierscope/fiche-metier/E1103;"information-communication, audiovisuel/journalisme, édition, publicité| information-communication, audiovisuel/multimédia"
"consignataire de navire";https://www.onisep.fr/http/redirection/metier/slug/MET.399;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";N1202;"Gestion des opérations de circulation internationale des marchandises";https://candidat.francetravail.fr/metierscope/fiche-metier/N1202;"logistique, transport/logistique| logistique, transport/transport"
"officier / officière de la marine marchande";https://www.onisep.fr/http/redirection/metier/slug/MET.653;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";N3101;"Encadrement de la navigation maritime";https://candidat.francetravail.fr/metierscope/fiche-metier/N3101;"logistique, transport/transport"
"directeur / directrice d'hôtel";https://www.onisep.fr/http/redirection/metier/slug/MET.2;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1402;"Management d'hôtel-restaurant";https://candidat.francetravail.fr/metierscope/fiche-metier/G1402;"gestion des entreprises, comptabilité/administration de l'entreprise| hôtellerie-restauration, tourisme/hôtellerie| hôtellerie-restauration, tourisme/tourisme"
"administrateur / administratrice de spectacle";https://www.onisep.fr/http/redirection/metier/slug/MET.469;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE V : arts, spectacle, audiovisuel";L1302;"Production et administration spectacle, cinéma et audiovisuel";https://candidat.francetravail.fr/metierscope/fiche-metier/L1302;"gestion des entreprises, comptabilité/administration de l'entreprise| arts, culture, artisanat/arts du spectacle"
"administrateur / administratrice de base de données";https://www.onisep.fr/http/redirection/metier/slug/MET.14;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1801;"informatique, Internet/bases de données| informatique, Internet/informatique (généralités)"
"consultant / consultante en solutions intégrées";https://www.onisep.fr/http/redirection/metier/slug/MET.599;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1806;"Conseil et maîtrise d'ouvrage en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1806;"électricité, électronique, robotique/électronique| informatique, Internet/informatique (généralités)| électricité, électronique, robotique/télécommunications"
"journaliste reporter d'images";https://www.onisep.fr/http/redirection/metier/slug/MET.677;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1106;"Journalisme et information média";https://candidat.francetravail.fr/metierscope/fiche-metier/E1106;"information-communication, audiovisuel/journalisme, édition, publicité"
"technicien / technicienne packaging";https://www.onisep.fr/http/redirection/metier/slug/MET.384;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE O : transport, logistique";;;;"logistique, transport/logistique"
"chargé / chargée de projet événementiel";https://www.onisep.fr/http/redirection/metier/slug/MET.473;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/metierscope/fiche-metier/E1103;"information-communication, audiovisuel/communication"
